Category,Denial Type,Field Name (837),CARC/RARC Code,Root Cause,Priority,Action Owner,What to Fix,What to Verify,PM System Field,Payer/External System Field,Expected Outcome,Time to Resolve
PRIOR AUTHORIZATION,Missing Prior Auth,23_Prior_Authorization_No,197/N517,Authorization number not submitted with claim,High,Claims Intake Specialist,Add correct prior auth number to claim,Confirm auth number exists in Medical Records or Insurance tab,Claims Tab → Prior Auth Number (Box 23),Payer Authorization Portal → Auth Number Lookup,Claim reprocessed with payment,24-48 hours
PRIOR AUTHORIZATION,Auth Number Mismatch,23_Prior_Authorization_No,197/N519,Auth number on claim doesn't match payer records,High,Claims Intake Specialist,Correct auth number or request payer to link correct auth,Verify auth number spelling/format matches payer portal exactly,Claims Tab → Prior Auth Number (Box 23),Payer Portal → Authorization Details,Claim matched to correct auth,24-48 hours
PRIOR AUTHORIZATION,Procedure Not Authorized,241d_CPT,197/N520,CPT code billed differs from authorized procedure,Critical,Denial Analyst,Request auth amendment or submit appeal with clinical justification,Compare billed CPT vs authorized CPT on payer portal,Charges Tab → CPT Code Field,Payer Portal → Authorized Procedures List,Auth amended or appeal approved,5-10 days
PRIOR AUTHORIZATION,DOS Outside Auth Window,247a_From / 247a_To,197/N522,Service date falls outside authorization effective dates,High,Claims Intake Specialist,Request auth date extension or submit appeal for medical necessity,Verify DOS against auth effective from/to dates,Visit/Charges → Service Date Field,Payer Portal → Auth Effective Dates,Auth extended or retro-auth granted,3-7 days
PRIOR AUTHORIZATION,Auth Expired,23_Prior_Authorization_No,197/N521,Authorization expired before service rendered,High,Denial Analyst,Request retro-authorization or appeal with clinical justification,Check auth expiration date vs DOS,Claims Tab → Prior Auth Number,Payer Portal → Auth Expiration Date,Retro-auth approved,5-10 days
PRIOR AUTHORIZATION,No Auth on File (Payer),N/A,197/MA130,Payer has no record of authorization,Critical,Denial Analyst,Submit No Authorization Appeal with proof of auth or medical necessity,Confirm auth exists internally; if not obtain retro-auth,Insurance Tab → Pre-Auth Number Field,Payer Portal → Authorization Lookup,Appeal approved or auth located,7-14 days
ELIGIBILITY,Patient Not Eligible,11_Insurance_Info,27/N30,Patient not covered on date of service,Critical,Claims Intake Specialist,Verify correct insurance; bill alternate payer or patient,Run real-time eligibility check for DOS,Insurance Tab → Policy Effective Dates,Payer Portal → Member Eligibility Inquiry (270/271),Correct payer identified and billed,24-48 hours
ELIGIBILITY,Coverage Terminated,11_Insurance_Info,27/N31,Patient coverage ended before DOS,Critical,Claims Intake Specialist,Identify new coverage or bill patient as self-pay,Check for COBRA or new insurance; verify termination date,Insurance Tab → Coverage End Date,Payer Portal → Termination Date,Bill correct payer or patient,24-48 hours
ELIGIBILITY,Subscriber ID Invalid,4_Insured_ID,58/N56,Member ID doesn't match payer records,High,Claims Intake Specialist,Correct subscriber ID on claim,Verify ID against insurance card image or payer portal,Insurance Tab → Subscriber ID,Payer Portal → Member Search,Claim reprocessed,24 hours
ELIGIBILITY,Group Number Invalid,11_Group_Number,A1/N61,Group number incorrect or missing,Medium,Claims Intake Specialist,Add or correct group number,Verify group number from insurance card or eligibility response,Insurance Tab → Group Number,Payer Portal → Group Details,Claim reprocessed,24 hours
CODING,Invalid Diagnosis Code,214a_ICD10,A1/M79,ICD-10 code invalid or truncated,High,Medical Coder,Correct to valid ICD-10 code with appropriate specificity,Review documentation for accurate diagnosis; check code validity,Charges Tab → Diagnosis Codes,CMS ICD-10 Code Database,Claim reprocessed,24-48 hours
CODING,Diagnosis-Procedure Mismatch,214a_ICD10 / 241d_CPT,11/N386,Diagnosis doesn't support medical necessity for procedure,Critical,Medical Coder,Add supporting diagnosis or request documentation addendum,Review clinical notes for additional diagnoses supporting procedure,Charges Tab → Dx Pointer Assignment,LCD/NCD Coverage Article,Claim approved with correct dx,3-5 days
CODING,Invalid CPT Code,241d_CPT,B7/M51,CPT code invalid for date of service,Medium,Medical Coder,Update to current valid CPT code,Check CPT code effective dates; review for code changes,Charges Tab → CPT Code Field,CMS HCPCS/CPT Database,Claim reprocessed,24-48 hours
CODING,Modifier Missing,241d_Modifier,4/MA114,Required modifier not submitted,High,Medical Coder,Add appropriate modifier based on procedure circumstances,Review op notes for laterality/distinct services/multiple procedures,Charges Tab → Modifier Fields,Payer Modifier Requirements,Claim reprocessed with modifier,24-48 hours
